brand;artist;title;album;style;difficulty;total_xp;artwork_filename;pdf_filename;assignment_title;assignment_xp;soundslice_slug;publishing_status;instrument_removed;pdf_filename_tabs_and_notation
Guitareo;AC/DC;Back in Black;Back In Black;Rock;9;200;acdc-back-in-black.jpg;acdc-back-in-black-tab.pdf;Back in Black;25;8fGkc;Published;FALSE;acdc-back-in-black-tab-standard.pdf
Guitareo;AC/DC;Meanstreak;Blow Up Your Video;Rock;8;200;acdc-blow-up-your-video.jpg;acdc-meanstreak-tab.pdf;Meanstreak;25;ZCD4c;Published;FALSE;acdc-meanstreak-tab-standard.pdf
Guitareo;AC/DC;Shoot To Thrill;Back In Black;Rock;9;200;acdc-back-in-black.jpg;acdc-shoot-to-thrill-tab.pdf;Shoot To Thrill;25;pzf4c;Published;FALSE;acdc-shoot-to-thrill-tab-standard.pdf
Guitareo;AC/DC;TNT;High Voltage;Rock;6;150;acdc-high-voltage.jpg;acdc-tnt-tab.pdf;TNT;25;fLD4c;Published;FALSE;acdc-tnt-tab-standard.pdf
Guitareo;AC/DC;Thunderstruck;The Razors Edge;Rock;9;200;acdc-the-razors-edge.jpg;acdc-thunderstruck-tab.pd;Thunderstruck;25;bCf4c;Published;FALSE;acdc-thunderstruck-tab-standard.pd
Guitareo;Adele;Hello;25;Pop;6;150;adele-25.jpg;adele-hello-tab.pdf;Hello;25;Ypy4c;Published;FALSE;adele-hello-tab-standard.pdf
Guitareo;Adele;Rolling In The Deep;21;Pop;5;150;adele-21.jpg;adele-rolling-in-the-deep-tab.pdf;Rolling In The Deep;25;kCY4c;Published;FALSE;adele-rolling-in-the-deep-tab-standard.pdf
Guitareo;Adele;Someone Like You;21;Pop;6;150;adele-21.jpg;adele-someone-like-you-tab.pdf;Someone Like You;25;tHY4c;Published;FALSE;adele-someone-like-you-tab-standard.pdf
Guitareo;Alice In Chains;Man In The Box;Facelift;Rock;8;200;alice-in-chains-facelift.jpg;alice-in-chains-man-in-the-box-tab.pdf;Man In The Box;25;g9k4c;Published;FALSE;alice-in-chains-man-in-the-box-tab-standard.pdf
Guitareo;Alicia Keys;Fallin';Songs in A Minor;R&B/Soul;5;150;alicia-keys-songs-in-a-minor.jpg;alicia-keys-fallin-tab.pdf;Fallin';25;1544c;Published;FALSE;alicia-keys-fallin-tab-standard.pdf
Guitareo;Alicia Keys;No One;As I Am;R&B/Soul;6;150;alicia-keys-as-i-am.jpg;alicia-keys-no-one-tab.pdf;No One;25;V744c;Published;FALSE;alicia-keys-no-one-tab-standard.pdf
