brand;artist;title;album;style;difficulty;total_xp;artwork_filename;pdf_filename;assignment_title;assignment_xp;soundslice_slug;publishing_status;instrument_removed;pdf_filename_tabs_and_notation;content_id
drumeo;The Stone Roses;I Wanna Be Adored;;;;;;;;;;;TRUE;;291630
drumeo;The Stone Roses;Made Of Stone;;;;;;;;;;;TRUE;;291632
drumeo;The Stone Roses;Fools Gold;;;;;;;;;;;TRUE;;374629
drumeo;The Stooges;I Wanna Be Your Dog;;;;;;;;;;;TRUE;;270741
drumeo;The Strokes;Last Nite;;;;;;;;;;;TRUE;;337437
drumeo;The Style Council;Dropping Bombs On The White House;;;;;;;;;;;TRUE;;337439
drumeo;The Supremes;Stop! In The Name Of Love;;;;;;;;;;;TRUE;;279342
drumeo;The Supremes;Where Did Our Love Go;;;;;;;;;;;TRUE;;285132
drumeo;The Supremes;Baby Love;;;;;;;;;;;TRUE;;285130
drumeo;The Temptations;Just My Imagination (Running Away With Me);;;;;;;;;;;TRUE;;270747
drumeo;The Temptations;Papa Was A Rollin' Stone;;;;;;;;;;;TRUE;;270743
drumeo;The Temptations;My Girl;;;;;;;;;;;TRUE;;279344
drumeo;The Temptations;Get Ready;;;;;;;;;;;TRUE;;270745
drumeo;The Temptations;Ain't Too Proud To Beg;;;;;;;;;;;TRUE;;285134
drumeo;The Teskey Brothers;So Caught Up;;;;;;;;;;;TRUE;;364781
drumeo;The Tony Williams Lifetime;Proto-Cosmos;;;;;;;;;;;TRUE;;270749
drumeo;The Tragically Hip;Blow At High Dough;;;;;;;;;;;TRUE;;291634
drumeo;The Travelling Wilburys;End Of The Line;;;;;;;;;;;TRUE;;337441
drumeo;The Used;Buried Myself Alive;;;;;;;;;;;TRUE;;291640
drumeo;The Used;A Box Full Of Sharp Objects;;;;;;;;;;;TRUE;;291638
drumeo;The Ventures;Walk, Don't Run;;;;;;;;;;;TRUE;;279346
drumeo;The Wallflowers;One Headlight;;;;;;;;;;;TRUE;;365671
drumeo;The Wallflowers;6th Avenue Heartache;;;;;;;;;;;TRUE;;326673
drumeo;The Weeknd;Blinding Lights;;;;;;;;;;;TRUE;;302668
drumeo;The White Stripes;Seven Nation Army;;;;;;;;;;;TRUE;;264699
drumeo;The Who;Behind Blue Eyes;;;;;;;;;;;TRUE;;337443
drumeo;The Who;Pinball Wizard;;;;;;;;;;;TRUE;;373403
drumeo;The Who;My Generation;;;;;;;;;;;TRUE;;279348
drumeo;The Who;Baba O'Riley;;;;;;;;;;;TRUE;;291644
drumeo;The Winstons;Amen, Brother;;;;;;;;;;;TRUE;;275804
drumeo;The Wonders;That Thing You Do!;;;;;;;;;;;TRUE;;291646
drumeo;Them Crooked Vultures;No One Loves Me & Neither Do I;;;;;;;;;;;TRUE;;285136
