CONTENT_ID	Brand	Lesson Title	Content Type	CMS URL	Course/Pack
13796	drumeo	Use Somebody	song	https://admin.musora.com/admin#/content/drumeo/13796	
13945	drumeo	Creep	song	https://admin.musora.com/admin#/content/drumeo/13945	
19307	drumeo	Tom Sawyer	song	https://admin.musora.com/admin#/content/drumeo/19307	
19758	drumeo	Enter Sandman	song	https://admin.musora.com/admin#/content/drumeo/19758	
19806	drumeo	Still Into You	song	https://admin.musora.com/admin#/content/drumeo/19806	
19999	drumeo	Back In Black	song	https://admin.musora.com/admin#/content/drumeo/19999	
20227	drumeo	Accessorizing Your Kit - Percussion Add-ons	gear-guides	https://admin.musora.com/admin#/content/drumeo/20227	
20249	drumeo	All The Small Things	song	https://admin.musora.com/admin#/content/drumeo/20249	
20337	drumeo	Sexy New Drum Gear For 2014	gear-guides	https://admin.musora.com/admin#/content/drumeo/20337	
21264	drumeo	Crazy Train	song	https://admin.musora.com/admin#/content/drumeo/21264	
21350	drumeo	Get Lucky	song	https://admin.musora.com/admin#/content/drumeo/21350	
21846	drumeo	Mr. Big Stuff	song	https://admin.musora.com/admin#/content/drumeo/21846	
21850	drumeo	Jai's Kit Set-up	gear-guides	https://admin.musora.com/admin#/content/drumeo/21850	
21916	drumeo	Heed The Call	play-along	https://admin.musora.com/admin#/content/drumeo/21916	
22154	drumeo	California Gurls	song	https://admin.musora.com/admin#/content/drumeo/22154	
22166	drumeo	One	song	https://admin.musora.com/admin#/content/drumeo/22166	
22613	drumeo	Walk	song	https://admin.musora.com/admin#/content/drumeo/22613	
22734	drumeo	Uptown Funk	song	https://admin.musora.com/admin#/content/drumeo/22734	
22826	drumeo	NAMM 2015 Recap	on-the-road	https://admin.musora.com/admin#/content/drumeo/22826	
22855	drumeo	No One Knows	song	https://admin.musora.com/admin#/content/drumeo/22855	
22981	drumeo	Late In The Evening	song	https://admin.musora.com/admin#/content/drumeo/22981	
23042	drumeo	Smoke On the Water	song	https://admin.musora.com/admin#/content/drumeo/23042	
23126	drumeo	Dr. Feelgood	song	https://admin.musora.com/admin#/content/drumeo/23126	
23454	drumeo	She's Country	song	https://admin.musora.com/admin#/content/drumeo/23454	
23556	drumeo	Virtual Insanity	song	https://admin.musora.com/admin#/content/drumeo/23556	
