CONTENT_ID	Brand	Lesson Title	Content Type	CMS URL
381288	drumeo	January Student Collaboration	student-collaborations	https://admin.musora.com/admin#/content/drumeo/381288
383853	drumeo	February Student Collaboration Announcement	student-collaborations	https://admin.musora.com/admin#/content/drumeo/383853
386409	drumeo	#119 - "Sweet Child O' Mine"	student-collaborations	https://admin.musora.com/admin#/content/drumeo/386409
387255	drumeo	#120 - "Lovely Day"	student-collaborations	https://admin.musora.com/admin#/content/drumeo/387255
388256	drumeo	April Student Collaboration Announcement	student-collaborations	https://admin.musora.com/admin#/content/drumeo/388256
389882	drumeo	May Student Collaboration Announcement	student-collaborations	https://admin.musora.com/admin#/content/drumeo/389882
389884	drumeo	#122 - "We Are The Champions"	student-collaborations	https://admin.musora.com/admin#/content/drumeo/389884
391049	drumeo	June Student Collaboration Announcement	student-collaborations	https://admin.musora.com/admin#/content/drumeo/391049
391501	drumeo	#123 - "Saints Of Los Angeles"	student-collaborations	https://admin.musora.com/admin#/content/drumeo/391501
392693	drumeo	#124 - "Green Onions"	student-collaborations	https://admin.musora.com/admin#/content/drumeo/392693
397013	drumeo	October Student Collaboration Announcement	student-collaborations	https://admin.musora.com/admin#/content/drumeo/397013
398736	drumeo	#128 - "Moanin'"	student-collaborations	https://admin.musora.com/admin#/content/drumeo/398736
400823	drumeo	December Student Collaboration Announcement	student-collaborations	https://admin.musora.com/admin#/content/drumeo/400823
402637	drumeo	January Student Collaboration Announcement	student-collaborations	https://admin.musora.com/admin#/content/drumeo/402637
402638	drumeo	#130 - "Santa Claus Is Comin' To Town"	student-collaborations	https://admin.musora.com/admin#/content/drumeo/402638
403723	drumeo	#131 - "Hail To The King"	student-collaborations	https://admin.musora.com/admin#/content/drumeo/403723
406511	drumeo	April Student Collaboration Announcement	student-collaborations	https://admin.musora.com/admin#/content/drumeo/406511
407523	drumeo	May Student Collaboration Announcement	student-collaborations	https://admin.musora.com/admin#/content/drumeo/407523
407525	drumeo	July Student Collaboration Announcement	student-collaborations	https://admin.musora.com/admin#/content/drumeo/407525
407934	drumeo	#134 - "Don't Stop Believin'"	student-collaborations	https://admin.musora.com/admin#/content/drumeo/407934
408945	drumeo	June Student Collaboration Announcement	student-collaborations	https://admin.musora.com/admin#/content/drumeo/408945
409066	drumeo	#135 - "September"	student-collaborations	https://admin.musora.com/admin#/content/drumeo/409066
