Children	Publisher Name
7 MONTHS OF SHADOWS	OTHER
A TRAIN ENTERTAINMENT	OTHER
ACK ACK MUSIC	OTHER
ACUM	OTHER
AFI DBA EX NOCTEM NACIMUR MUSIC	OTHER
AIR CHRYSALIS SCANDINAVIA AB	OTHER
ALABAMA SHAKES PUBLISHING	OTHER
ALFRED PUB CO INC	OTHER
ALIMIYA MUSIC GROUP INC	OTHER
ALL ESSENTIAL MUSIC	OTHER
AMCOS (AUSTRALASIAN MECHANICAL COPYRIGHT OWNERS SOCIETY)	OTHER
AMERICAN BROADCASTING MUSIC INC	OTHER
ANDATHAN MUSIC	OTHER
ANNUITY SONGS	OTHER
ANTHEM 2101 SONGS	ANTHEM
ANTHEM ENTERTAINMENT A	ANTHEM
ANTHEM MUSIC PUBLISHING I	ANTHEM
ANTHEM MUSIC PUBLISHING II	ANTHEM
ANTHEM TEAM 2101 SONGS	ANTHEM
ARC MUSIC, INC.	OTHER
ARC/CONRAD	BMG
ATLANTIC MUSIC CORPORATION	OTHER
AUDIAM AFF	OTHER
AUDIAM, INC	AUDIAM
B-KUBE MUSIC PUBLISHING	OTHER
BAD BRAINS PUBLISHING	OTHER
BARTON MUSIC CORPORATION	OTHER
BEARDOG PUBLISHING COMPANY	OTHER
BEEN JAMMIN' MUSIC	OTHER
BEMA MUSIC CO., A DIVISION OF SWEET CITY RECORDS INC.	OTHER
BERGER BITS MUSIC	OTHER
BETHEL MUSIC PUBLISHING	OTHER
BETHEL WORSHIP PUBLISHING	OTHER
BIANIC MUSIC	OTHER
BIENSTOCK PUBLISHING COMPANY	OTHER
BIG MUSIC MACHINE	OTHER
BIRD OF TERROR	OTHER
BLACK ICE PUBLISHING	OTHER
BLIZZARD MUSIC LIMITED	OTHER
BLOW THE DOORS OFF CHICAGO	OTHER
BLOW THE DOORS OFF THE JERSEY SHORE MUSIC PUBLISHING, INC	OTHER
BLUEWATER MUSIC CORP.	OTHER
BOURNE CO.	OTHER
BOWERY MUSIC PUBLISHING	OTHER
BRASSWORKS MUSIC	OTHER
BRENDA RICHIE PUBLISHING	OTHER
BRENDAN O'BRIEN DBA CHARLIE NOBLE MUSIC	OTHER
BRIDGE BUILDING MUSIC	OTHER
BRIDGEPORT MUSIC INC	OTHER
