Public/Owned	CONTENT_ID	MLC	ISRC	ISWC	TITLE	ARTIST	SMP	UMP	BMG	KOBALT	WCM	ABKCO	AUDIAM	BELIEVE	CONCORD	DMG	DST	HAL	HIPGNOSIS	PEER	RESERVOIR	ROUND HILL	SPIRIT	WIXEN	OTHER	Risk
FALSE	347671	M30523		T9043210748	Medieval Overture	Return to Forever	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	22508	M3211F	USEP40377105		My Favourite Accident	Motion City Soundtrack	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	380716	M32433		T0113632259	Memory	Andrew Lloyd Webber	0	50	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	Blue
FALSE	379759	M32433		T0113632259	Memory	Andrew Lloyd Webber	0	50	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	Blue
FALSE	380310	M3511H		T9002975624	Mercy	Duffy	0	40	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	383173	M3511H		T9002975624	Mercy	Duffy	0	40	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	379120	M3511H		T9002975624	Mercy	Duffy	0	40	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	387265	M35750		T0100413408	Message In A Bottle	The Police	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	402973	M35750	T0100413408		Message In A Bottle	The Police	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	319475	M35750		T0100413408	Message in a Bottle	Police	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	376721	M35750		T0100413408	Message In A Bottle	The Police	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	267490	M35750		T0100413408	Message In A Bottle	The Police	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	242564	M35750		T0100413408	Message In A Bottle		0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	306512	M35750		T0100413408	Message in a Bottle	The Police	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	260638	M35750		T0100413408	Message In A Bottle	The Police	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	382405	M36253		T9135726248	Metal Church	Metal Church	0	66.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	322933	M3642N		T0701133858	Movin' In	Chicago	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	Blue
FALSE	355752	M3642N		T0701133858	Movin In	Chicago	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	Blue
FALSE	385847	M3690I		T9016472267	Med Sud I Eyrum	Sigur Ros	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	264295	M3840D		T0117306189	Mountains	Biffy Clyro	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	301362	M38675	USMC18518657		Miami Vice Theme	Tony Williams	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	399691	M41900		T0702421984	Milestones (Easy Version)	Miles Davis	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	Blue
FALSE	270599	M41900		T0702421984	Milestones	Miles Davis	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	Blue
FALSE	317288	M41900		T0702421984	Milestones	Miles Davis	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	Blue
FALSE	394754	M4192U		T0710175271	My Name Is Mud (Easy Version)	Primus	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	Blue
FALSE	275684	M4192U		T0710175271	My Name Is Mud	Primus	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	Blue
FALSE	382911	M42237		T0712928965	The Middle	Jimmy Eat World	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	260433	M42237		T0712928965	The Middle	Jimmy Eat World	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	306483	M42237		T0712928965	The Middle	Jimmy Eat World	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	335101	M42237		T0712928965	The Middle	Jimmy Eat World	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	347238	M42237		T0712928965	The Middle	Jimmy Eat World	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	382591	M42237		T0712928965	The Middle	Jimmy Eat World	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	386380	M42237		T0712928965	The Middle	Jimmy Eat World	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	396131	M42237		T0712928965	The Middle (Easy Version) (Key Of G)	Jimmy Eat World	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	402979	M43015		T0113758012	Mind Games	John Lennon	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	Blue
FALSE	388873	M43887		T0030123115	Minor Swing	The Quintet  Du Hot Club De France	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	260630	M44020		T0701141334	Minute By Minute	The Doobie Brothers	0	0	25	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	407592	M47200		T0701165958	Misty (Easy Version)	Erroll Garner	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	Blue
FALSE	301789	M47200		T0701165958	Misty	John Wooton's Steel Pan Ensemble	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	Blue
FALSE	379470	M47200		T0701165958	Misty	Erroll Garner / Johnny Burke	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	Blue
FALSE	407590	M47200		T0701165958	Misty	Erroll Garner	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	Blue
FALSE	407591	M47200		T0701165958	Misty (Solo)	Erroll Garner	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	Blue
FALSE	406940	M4931S		T0701159478	Mushanga	Toto	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	Blue
FALSE	295218	M4931S		T0701159478	Mushanga	Toto	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	Blue
