id,type,brand,assignment_id,soundslice_slug,length_in_seconds
377958,song,guitareo,377959,FLz4c,286
377960,song,guitareo,377961,9-Y4c,208
377962,song,guitareo,377963,dpz4c,203
377964,song,guitareo,377965,wj24c,187
377966,song,guitareo,377967,96pkc,191
377968,song,guitareo,377969,Mlpkc,268
377970,song,guitareo,376436,Mnmkc,136
377971,song,guitareo,377972,b3k4c,148
377973,song,guitareo,377974,3wY4c,136
377975,song,guitareo,376438,NGc4c,194
377976,song,guitareo,377977,vGz4c,245
377978,song,guitareo,377979,9jz4c/,215
377980,song,guitareo,377981,pjz4c,257
377982,song,guitareo,377983,2Pz4c,214
377984,song,guitareo,377985,Lqz4c,213
377986,song,guitareo,377987,Lnl4c,232
377988,song,guitareo,377989,kPz4c,235
377990,song,guitareo,377991,6Lgkc,213
377992,song,guitareo,377993,Wrz4c,199
377994,song,guitareo,377995,6jz4c,259
377996,song,guitareo,377997,Wrk4c,269
377998,song,guitareo,377999,LR24c,260
378000,song,guitareo,378001,2-l4c,277
378002,song,guitareo,378003,5FC4c,231
378004,song,guitareo,378005,MvX4c,281
378006,song,guitareo,378007,VgX4c,229
378008,song,guitareo,378009,zgX4c,167
378010,song,guitareo,378011,zjR4c,369
378012,song,guitareo,378013,2tC4c,222
378014,song,guitareo,378015,KfR4c,198
378016,song,guitareo,378017,ZDR4c,332
378018,song,guitareo,378019,FtC4c,212
378020,song,guitareo,378021,7LR4c,246
378022,song,guitareo,378023,LcR4c,242
378024,song,guitareo,378025,6fR4c,290
378026,song,guitareo,378027,yjR4c,291
378028,song,guitareo,378029,nLY4c,240
378030,song,guitareo,378031,Wzq4c,220
378032,song,guitareo,378033,9qq4c,213
378034,song,guitareo,378035,5Vq4c,183
378036,song,guitareo,378037,Xlq4c,230
378038,song,guitareo,378039,Zlq4c,189
378040,song,guitareo,378041,xRR4c,213
378042,song,guitareo,378043,WMR4c,294
378044,song,guitareo,378045,YKk4c,196
378046,song,guitareo,378047,88X4c,251
378048,song,guitareo,378049,Wyy4c,169
378050,song,guitareo,378051,sNR4c,278
378052,song,guitareo,378053,gNR4c,289
378054,song,guitareo,378055,pNR4c,235
378056,song,guitareo,378057,Z2R4c,226
378058,song,guitareo,378059,ZNX4c,121
378060,song,guitareo,378061,n2R4c,294
378062,song,guitareo,378063,XkR4c,284
378064,song,guitareo,378065,dkR4c,196
378066,song,guitareo,378067,gHR4c,205
378068,song,guitareo,378069,kyR4c,326
378070,song,guitareo,378071,4TR4c,149
378072,song,guitareo,378073,nfR4c,352
378076,song,guitareo,378077,3JR4c,229
378078,song,guitareo,378079,gbR4c,232
378080,song,guitareo,378081,kqX4c,215
378082,song,guitareo,378083,sDq4c,202
378084,song,guitareo,378085,nyR4c,281
378086,song,guitareo,378087,1yR4c,121
378088,song,guitareo,378089,wz34c,127
378090,song,guitareo,378091,ZfGkc,213
378092,song,guitareo,378093,4fX4c,198
378094,song,guitareo,378095,gT5kc,228
378096,song,guitareo,378097,HxX4c,155
378098,song,guitareo,378099,bRC4c,203
378100,song,guitareo,378101,rtX4c,245
378102,song,guitareo,378103,k5X4c,215
378104,song,guitareo,378105,K1X4c,226
378106,song,guitareo,378107,t1X4c,165
378108,song,guitareo,378109,qZpkc,136
378112,song,guitareo,378113,-Tz4c,196
378114,song,guitareo,378115,J5X4c,254
378116,song,guitareo,378117,j5X4c,218
378118,song,guitareo,378119,F5X4c,240
378120,song,guitareo,378121,GCX4c,289
378122,song,guitareo,378123,qdR4c,307
378124,song,guitareo,378125,S5R4c,246
378126,song,guitareo,378127,FZR4c,244
378128,song,guitareo,378129,T9R4c,254
378130,song,guitareo,378131,1ZR4c,183
378132,song,guitareo,378133,ngR4c,116
378134,song,guitareo,378135,r6R4c,271
378136,song,guitareo,378137,XY34c,262
378138,song,guitareo,383467,hw34c,263
