id,type,title,Genre,Essentials-1,Essentials-2,Theory-1,Theory-2,Creativity-1,Creativity-2,Lifestyle-1,Lifestyle-2
19436,live,Rudiment Burn - Double Paradiddle,,Rudiments,Hand Technique,,,,,,
19450,live,Rudiment Burn - Triple Paradiddle,,Rudiments,Hand Technique,,,,,,
19454,live,Rudiment Burn - Flams,,Rudiments,Hand Technique,,,,,,
19460,live,7 Sick Travis Barker Grooves #1,,,,,,Grooves,,,
19477,live,Song Enders For Beginners,,,,,,Fills & Chops,,,
19492,live,The Controlled Chaos of Mutemath,,,,,,Grooves,Fills & Chops,,
19501,live,Creating Groove Tension,,,,,,Grooves,,,Gigging Tips & Gear
19520,live,"Iconic Jazz Legends - ""Elvin Jones""",Jazz/Blues,,,,,Grooves,,,
19535,live,Rudiment Burn - Swiss Army Triplets,,Rudiments,,,,,,,
19557,live,Gospel Drumming #1,Worship/Gospel,,,,,Grooves,Fills & Chops,,
19568,live,Gospel Drumming #2,Worship/Gospel,,,,,Grooves,Fills & Chops,,
19589,live,Gospel Drumming #3,Worship/Gospel,,,,,Grooves,Fills & Chops,,
195922,live,Exploring Your Creativity On The Drum-Set,,,,,,Making Music,,,
195928,live,7 Funky 7/8 Grooves,Funk/Disco,,,Time Signatures,,Grooves,,,
19594,live,Hitting The Shots #1,,Hand Technique,,,,Fills & Chops,,,
196086,live,10 Metal Tips,Hard Rock/Metal,,,,,,,Gigging Tips & Gear,Practice Tips
196092,live,The Click Is Your Friend #2,,Timing,,Ear Training,,,,,
196094,live,Rudiment Burn - Paradiddle-diddle,,Rudiments,,,,,,,
196096,live,Getting Creative - Beyond Standard Hi-Hats,,,,,,,,,Gigging Tips & Gear
19628,live,Basic Breakbeat Bonanza,Country/Folk,,,,,Grooves,,,
19631,live,Musical Approach To Drumming #2,,,,,,,,,Gigging Tips & Gear
19645,live,Hitting The Shots #2,,Hand Technique,,,,Fills & Chops,,,
196617,live,How To Play Songs As A Beginner,,,,Ear Training,,,,Practice Tips,Gigging Tips & Gear
196624,live,Getting Creative - Beyond Standard Cymbal Set-ups,,,,,,,,,Gigging Tips & Gear
196626,live,5 Tips For Making A Song “Catchy”,,,,,,Making Music,,,
196633,live,15/Sick-steen Grooves,,,,,,Grooves,,,
19667,live,Your Left Foot Anchor,,Foot Technique,,,,Grooves,,,
19680,live,Rudiment Burn - Flamacue,,Rudiments,Hand Technique,,,,,,
19682,live,The Swivel Technique,,Foot Technique,,,,,,,
19684,live,One Handed Drumming,,Hand Technique,,,,Independence,Grooves,,
19696,live,Rudiment Burn - Flam Taps,,Rudiments,,,,,,,
19713,live,Playing With Sensitivity,,,,,,,,,Gigging Tips & Gear
19727,live,Rudiment Burn - Flam Paradiddle,,Rudiments,,,,,,,
19731,live,"Iconic Jazz Legends - ""Tony Williams""",Jazz/Blues,,,,,Grooves,Fills & Chops,,
19740,live,Landing On The One,,,,,,Grooves,Fills & Chops,,
19743,live,Personalizing Grooves,,,,,,Grooves,Fills & Chops,,
19747,live,7 Sick Travis Barker Fills,,,,,,Fills & Chops,,,
19749,live,Decades Of Drumming - The '60s,,,,,,Grooves,Fills & Chops,,
19756,live,Rock Fills With Hi-Hats,Hard Rock/Metal,,,,,Fills & Chops,,,
19761,live,Using A Side Snare,,,,,,Grooves,Fills & Chops,,
19772,live,Big-Band Drumming #1,Jazz/Blues,,,,,Grooves,Fills & Chops,,
19776,live,Big-Band Drumming #2,Jazz/Blues,,,,,Grooves,Fills & Chops,,
19785,live,"One Pedal, Double Kicks",,Foot Technique,,,,Grooves,Fills & Chops,,
197852,live,Studio Drumming Preparation,,,,,,,,,Gigging Tips & Gear
19795,live,Applying The Double Paradiddle,,Rudiments,,,,Fills & Chops,,,
19797,live,Famous Funk Fills,Funk/Disco,,,,,Fills & Chops,,,
19838,live,Style Analysis - Gene Krupa,Jazz/Blues,,,,,,,,
198467,live,An Introduction To Scottish Drumming,,Rudiments,Hand Technique,,,,,,
198471,live,Rickety Beats To Fool Your Friends,,,,,,Grooves,,,
198473,live,Practice Tips To Become A Well Rounded Drummer,,,,,,,,,Practice Tips
19860,live,Linear Concepts & Alternative Flamercises,,Rudiments,,,,Grooves,Fills & Chops,,
19866,live,Trick Or Time Signature,,,,Time Signatures,,Grooves,Fills & Chops,,
198673,live,The Click Is Your Friend #3,,Timing,,Ear Training,,,,,
19874,live,Sexy Sextuplets #1,,Rudiments,,Notation,,,,,
19876,live,The Heel-Toe Technique,,Foot Technique,,,,,,,
19885,live,Reverse Bossa Clave Grooves,Latin/World,,,,,Grooves,,,
19952,live,Inverted-Paradiddle Applications,,Rudiments,,,,Grooves,Fills & Chops,,
19966,live,Odd Sounding 4/4 Grooves,,,,,,Grooves,,,
19972,live,Setting Up Your Drums,,Setup & Tuning,,,,,,,Gigging Tips & Gear
19978,live,Decades Of Drumming - The '70s - Part 1,,,,,,Grooves,Fills & Chops,,
19983,live,Sexy Sextuplets #2,,Rudiments,,Notation,,,,,
19987,live,Style Analysis - Buddy Rich,Jazz/Blues,,,,,Grooves,Fills & Chops,,
19991,live,The Guaguanco #1,Latin/World,,,,,Grooves,Fills & Chops,,
19997,live,Brain-Twisting Odd-Time Grooves,,,,Time Signatures,,Grooves,,,
20001,live,Single-Ratamacue Applications,,Rudiments,,,,Grooves,Fills & Chops,,
20004,live,Crashing It Up - Part 1,,Hand Technique,,,,Grooves,Fills & Chops,,
20006,live,Rudiment Burn - Flam Paradiddle-diddle,,Rudiments,,,,,,,
20081,live,Sexy Sextuplets #3,,Rudiments,,Notation,,,,,
20084,live,7 Beats You Don't Need To Know,,,,,,Grooves,,,
20086,live,Hi-Hat Technique,,Hand Technique,,,,,,,
20092,live,Heavy Metal Grooves,Hard Rock/Metal,,,,,Grooves,,,
20094,live,The Guaguanco #2,Latin/World,,,,,Grooves,Fills & Chops,,
20100,live,Rudiment Burn - Single Flammed Mill,,Rudiments,Hand Technique,,,,,,
20112,live,Beginner 20-Minute Pad Workout,,Rudiments,Hand Technique,,,,,,
20118,live,Beginner 20-Minute Kit Workout,,Rudiments,Hand Technique,,,Grooves,Fills & Chops,,
20122,live,Playing With Dual Hi-Hats,,,,,,Grooves,Fills & Chops,,
20129,live,Decades Of Drumming - The '70s - Part 2,,,,,,Grooves,Fills & Chops,,
20135,live,Sick Travis Barker Grooves #2 - Neighborhoods,,,,,,Grooves,,,
20137,live,Style Analysis - Dave Weckl,Jazz/Blues,,,,,Grooves,Fills & Chops,,
20139,live,Crashing It Up - Part 2,,Hand Technique,,,,Grooves,Fills & Chops,,
20142,live,Intermediate 20-Minute Kit Workout,,Hand Technique,Rudiments,,,Grooves,Fills & Chops,,
20144,live,Jazz Phrasing For Solos,Jazz/Blues,,,,,Grooves,Making Music,,
20150,live,Kit Ergonomics - Tweaking Your Set-Up,,Setup & Tuning,,,,,,,Gigging Tips & Gear
20185,live,Christmas Special,,,,,,,,,Other
20190,live,?uestlove: Beyond The Roots,,,,,,Grooves,Fills & Chops,,
20195,live,Advanced 20-Minute Kit Workout,,Rudiments,Hand Technique,,,Grooves,Fills & Chops,,
20202,live,20-Minute Linear Workout,,Hand Technique,Foot Technique,,,Independence,,,
20213,live,20-Minute Ghost Notes Workout,,Hand Technique,Dynamics,,,,,,
20219,live,Right-Foot Independence,,Foot Technique,,,,Independence,,,
20225,live,The Mechanics - Traditional Grip,,Hand Technique,,,,,,,
202286,live,Exploring Indian Grooves On The Drum-set,Latin/World,,,,,Grooves,,,
202303,live,How To Practice Timing,,Timing,,Ear Training,,,,,
202309,live,From The Bottom Up - Leading Grooves With Your Foot,,Hand Technique,,,,Grooves,,,
202311,live,"Run-D.M.C. - ""Sucker MC's""",Hip-Hop/Rap/EDM,,,,,Grooves,,,
20242,live,Modern New Orleans Feel,Jazz/Blues,,,,,Grooves,,,
20257,live,Adding Flams To Your Drumming,,Rudiments,,,,Grooves,Fills & Chops,,
202756,live,Learning The Drums Through Music,,,,,,,,Practice Tips,Gigging Tips & Gear
202758,live,The Click Is Your Friend #4,,Timing,,Ear Training,,,,,
20290,live,The Exchange Between Hands & Feet,,Hand Technique,Foot Technique,,,Independence,Grooves,,
20294,live,The Soca,Latin/World,,,,,Grooves,,,
20298,live,?uestlove's Quintessential Backbeats,,,,,,Grooves,,,
203165,live,Becoming A Chameleon Behind The Drums - The Art Of Versatility,,,,,,,,,Practice Tips
20317,live,Creative Double Bass,,Foot Technique,,,,Double Bass,Grooves,,
203171,live,Progressive Rock Drumming Tips,Hard Rock/Metal,,,,,,,,
20327,live,Double Stroke Roll Consistency,,Rudiments,Hand Technique,,,,,,
20333,live,Decades Of Drumming - The '80s,,,,,,Grooves,Fills & Chops,,
20351,live,Double Stroke Roll Fills,,Rudiments,,,,Fills & Chops,,,
203552,live,The New Groove Ostinato #1,,Hand Technique,,,,Grooves,,,
203557,live,The New Groove Ostinato #2,,Hand Technique,,,,Grooves,,,
20359,live,Edgar's Foot Technique #1,,Foot Technique,,,,,,,
20372,live,Grooves From Chilliwack,,,,,,Grooves,,,
20376,live,Programming Your Electric Kit #2,,,,,,,,,Gigging Tips & Gear
20378,live,Hi-Hat Stepping,,,,,,Grooves,Independence,,
20380,live,How To Use Drumeo,,,,,,,,Practice Tips,Other
203856,live,"Becoming A Musician, Not Just A Drummer",,,,,,,,,Practice Tips
20386,live,Breaking Down 4-Over-3,,,,Time Signatures,,Grooves,Fills & Chops,,
203864,live,The 5 Building Blocks Of Extreme Metal,Hard Rock/Metal,,,,,Grooves,Fills & Chops,,
203866,live,17/Sick-steen Grooves,,,,,,Grooves,,,
203868,live,Great Hands For Groove Essentials,,Hand Technique,,,,Grooves,,,
203874,live,Groove Tricks - Displacement #1,,,,,,Grooves,,,
20477,live,5 Must-Know Drum Licks,,,,,,Fills & Chops,,,
20485,live,The Bossa Nova,Latin/World,,,,,Grooves,,,
20491,live,Edgar's Foot Technique #2,,Foot Technique,,,,Grooves,Fills & Chops,,
20527,live,Broken Hi-Hat Grooves #1,,,,,,Grooves,Independence,,
20531,live,Broken Hi-Hat Grooves #2,,,,,,Grooves,Independence,,
20533,live,Rudiment Burn - Inverted Flam Tap,,Rudiments,,,,,,,
20535,live,Decades Of Drumming - The '90s,,,,,,Grooves,Fills & Chops,,
20541,live,Breaking Down 3-Over-4,,,,Time Signatures,,Grooves,Fills & Chops,,
20643,live,How To Sing While Drumming,,,,,,Grooves,,,Gigging Tips & Gear
20647,live,Note Value Pad Workout,,Rudiments,,Notation,,,,,
206508,live,Mozambique In 3/4,Latin/World,,,Time Signatures,,Grooves,,,
20651,live,Bossa Nova Exercises,Latin/World,,,,,Grooves,Fills & Chops,,
206510,live,Groove Tricks - Displacement #2,,,,,,Grooves,,,
207127,live,Groove Tricks - Modulation #1,,,,,,Grooves,,,
207132,live,Bossa Nova Basics,Latin/World,,,,,Grooves,,,
207133,live,Groove Tricks - Modulation #2,,,,,,Grooves,,,
207139,live,Improving Your Improv On The Drums,,,,Ear Training,,,,,
20718,live,Breaking Down 4-Over-5,,,,Time Signatures,,,,,
20720,live,The Purpose Of Paradiddles,,Rudiments,,,,Grooves,Fills & Chops,,
20764,live,Your 4th Drum Lesson,,,,Notation,,Independence,,,
20781,live,Moving The Backbeat,,,,,,Grooves,,,
20792,live,Constant Release #1,,Foot Technique,,,,,,,
20804,live,The Slide Technique,,Foot Technique,,,,,,,
20809,live,Your 5th Drum Lesson,,,,Notation,,Grooves,,,
208182,live,Honoring The Legacy Of Vinnie Paul,,,,,,Grooves,Fills & Chops,,
208188,live,Groove Glue #1 - Freeing Your Right Hand,,Hand Technique,,,,Grooves,,,
208190,live,Accentualisation #1,,Hand Technique,Dynamics,,,Grooves,Fills & Chops,,
208195,live,Groove Glue #2 - To Ride Or Not To Ride?,,,,,,Grooves,,,
20869,live,Single-Stroke-Seven Fills,,Rudiments,,,,Fills & Chops,,,
20875,live,Constant Release #2,,Foot Technique,,,,,,,
20878,live,Developing Lead Hand Independence,,Hand Technique,,,,Independence,,,
208838,live,Groove Glue #3 - Rights Of Expression,,,,,,Grooves,,,
