id,slug,title,brand,type,difficulty,xp,status,published_on,total_xp,parent_id,child_position,soundslice_slug,registration_url,topic,instructor,description,thumbnail_url,original_thumbnail_url,logo_image_url,header_image_url,chapter_1_desc,chapter_2_desc,chapter_3_desc,chapter_4_desc,chapter_5_desc,chapter_6_desc,chapter_1_timecode,chapter_2_timecode,chapter_3_timecode,chapter_4_timecode,chapter_5_timecode,chapter_6_timecode,duration,vimeo_video_id,youtube_video_id
398564,course-kick-off,Course Kick-Off,pianote,challenge-part,5,150,published,2023-12-28 08:01:00,150,398563,1,NULL,NULL,NULL,Kevin Castro,NULL,https://d1923uyy6spedc.cloudfront.net/30dbp-Kickoff-1690568141.png,https://d1923uyy6spedc.cloudfront.net/30dbp-Kickoff-1690568141.png,NULL,NULL,Intro,Important Info,Blues Essentials,Outro,NULL,NULL,0,16,80,129,NULL,NULL,600,882698759,NULL
398565,blues-essentials,Blues Essentials,pianote,challenge-part,5,150,published,2023-12-28 08:01:00,150,398563,2,NULL,NULL,NULL,Kevin Castro,<p>Let's start off with a few ground rules and learn some theory so that we can get a jump-start with this course and learn some of the basics that Kevin will be covering over the next 30 days.</p>,https://d1923uyy6spedc.cloudfront.net/30dbp-RR1 Essentials-1690568173.png,https://d1923uyy6spedc.cloudfront.net/30dbp-RR1 Essentials-1690568173.png,NULL,NULL,Intro,G Major,Swing Rhythm,Types of Chords,12-Bar Blues,Blues Scales,0,15,43,103,277,376,520,851379154,NULL
398566,day-1-the-12-bar-blues-progression,Day 1 — The 12-Bar Blues Progression,pianote,challenge-part,5,150,published,2023-12-28 08:01:00,150,398563,3,3n4Yc,NULL,NULL,Kevin Castro,NULL,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 1 -1690568197.png,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 1 -1690568197.png,NULL,NULL,Whole & Half Notes - Right Hand,Root Notes & Shells - Left Hand,Quarter Notes - Both Hands,Whole & Half Notes - Both Hands,Whole & Quarter Notes - Both Hands,Wrap-Up,26,340,471,523,575,602,656,851379267,NULL
398567,day-2-let-s-swing,Day 2 — Let's Swing!,pianote,challenge-part,5,150,published,2023-12-28 08:01:00,150,398563,4,qn4Yc,NULL,NULL,Kevin Castro,NULL,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 2-1690568216.png,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 2-1690568216.png,NULL,NULL,Review 12-Bar Blues,Rest & Swing Rhythm - Right Hand,Half Notes - Right Hand,Building The Swing Rhythm,Swing Rhythm - Left Hand & Together,Wrap-Up,26,235,340,392,523,610,665,859552384,NULL
398568,day-3-the-boogie-pattern,Day 3 — The Boogie Pattern,pianote,challenge-part,5,150,published,2023-12-28 08:01:00,150,398563,5,Hn4Yc,NULL,NULL,Kevin Castro,NULL,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 3-1690568233.png,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 3-1690568233.png,NULL,NULL,Review 12-Bar Blues,Boogie Pattern Fingering,Boogie Pattern,Hands Together Boogie,Quarter Notes,Wrap-Up,25,235,287,418,497,609,701,859552925,NULL
398569,day-4-rhythm-blues,Day 4 — Rhythm & Blues,pianote,challenge-part,5,150,published,2023-12-28 08:01:00,150,398563,6,Jn4Yc,NULL,NULL,Kevin Castro,NULL,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 4-1690568252.png,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 4-1690568252.png,NULL,NULL,Shell Position Hands Together,Right Hand Triad,Swing Rhythm,New Rhythm,Boogie Pattern,Wrap-Up,26,73,233,303,497,609,660,859554041,NULL
398570,day-5-blues-skills,Day 5 — Blues Skills,pianote,challenge-part,5,150,published,2023-12-28 08:01:00,150,398563,7,bn4Yc,NULL,NULL,Kevin Castro,NULL,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 5-1690568268.png,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 5-1690568268.png,NULL,NULL,"LH Shell, RH Triad",RH Half Notes,RH Quarter Notes,Swing Ryhthm,3 Note Riff,Outro,26,77,285,366,442,609,674,859560101,NULL
398571,day-6-back-in-the-swing-of-things,Day 6 — Back In The Swing Of Things,pianote,challenge-part,5,150,published,2023-12-28 08:01:00,150,398563,8,sn4Yc,NULL,NULL,Kevin Castro,NULL,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 6-1690568341.png,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 6-1690568341.png,NULL,NULL,Warming Up With Shells,RH Triad & LH Shells,Half Note Rhythm,Quarter Note Rhythm,Boogie Pattern,Wrap-Up,25,75,152,208,286,609,671,859845319,NULL
398572,day-7-the-7th-chord,Day 7 — The 7th Chord,pianote,challenge-part,5,150,published,2023-12-28 08:01:00,150,398563,9,1n4Yc,NULL,NULL,Kevin Castro,NULL,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 7-1690568358.png,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 7-1690568358.png,NULL,NULL,Warming Up With Shells,Half Note Rhythm,"Using 1, 2, &  3 Fingers",7th Chords,Using Different Rhythms,Wrap-Up,25,128,206,335,497,618,672,859845688,NULL
398573,day-8-unlocking-blues-harmony-inversions,Day 8 — Unlocking Blues Harmony (Inversions),pianote,challenge-part,5,150,published,2023-12-28 08:01:00,150,398563,10,8n4Yc,NULL,NULL,Kevin Castro,NULL,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 8-1690568376.png,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 8-1690568376.png,NULL,NULL,LH 5 & 2 Shells,Quarter Note Rhythm,Boogie Pattern,7th Chords,Using Different Inversions,Wrap-Up,25,100,178,259,392,609,687,859845860,NULL
398574,day-9-the-pentatonic-scale,Day 9 — The Pentatonic Scale,pianote,challenge-part,5,150,published,2023-12-28 08:01:00,150,398563,11,dn4Yc,NULL,NULL,Kevin Castro,NULL,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 9-1690568392.png,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 9-1690568392.png,NULL,NULL,LH Shells & Shuffle,Quarter Note Rhythm,Pentatonic Scale,Adding Swing Rhythm,Adding A Riff,Wrap-Up,22,102,150,260,288,608,662,859846014,NULL
398575,day-10-beyond-the-pentatonic,Day 10 — Beyond The Pentatonic,pianote,challenge-part,5,150,published,2023-12-28 08:01:00,150,398563,12,7n4Yc,NULL,NULL,Kevin Castro,NULL,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 10-1690568408.png,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 10-1690568408.png,NULL,NULL,Warming Up With RH Triad,Boogie Pattern Fingering,Inversions & Rhythm,Boogie Pattern,Pentatonic Scale & Riff,Wrap-Up,25,50,86,155,365,610,698,859846162,NULL
398576,day-11-the-blues-toolkit,Day 11 — The Blues Toolkit,pianote,challenge-part,5,150,published,2023-12-28 08:01:00,150,398563,13,Wn4Yc,NULL,NULL,Kevin Castro,NULL,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 11-1690568444.png,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 11-1690568444.png,NULL,NULL,Warming Up With RH Triad,Slides,Slide With The Boogie Pattern,LH Blues Shuffle,"Quarter Note Rhythm, Both Hands",Wrap-Up,25,75,180,257,366,610,660,859951655,NULL
398577,day-12-the-minor-blues-scale,Day 12 — The Minor Blues Scale,pianote,challenge-part,5,150,published,2023-12-28 08:01:00,150,398563,14,Bn4Yc,NULL,NULL,Kevin Castro,NULL,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 12-1690568460.png,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 12-1690568460.png,NULL,NULL,Warming Up With RH Triad,Blues Scale,Alternate Blues Scale Fingering,Blues Scale Riff,Adding The LH Shuffle,Wrap-Up,25,73,204,311,418,611,689,859951991,NULL
398578,day-13-the-blues-note,Day 13 — The Blues Note,pianote,challenge-part,5,150,published,2023-12-28 08:01:00,150,398563,15,Zn4Yc,NULL,NULL,Kevin Castro,NULL,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 13-1690568475.png,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 13-1690568475.png,NULL,NULL,Warming Up With 7th Chords,Boogie Pattern & Inversions,Blues Scale,RH Rhythm,7th Chords,Wrap-Up,25,50,232,390,547,609,666,859952122,NULL
398579,day-14-the-blues-riff,Day 14 — The Blues Riff,pianote,challenge-part,5,150,published,2023-12-28 08:01:00,150,398563,16,Ln4Yc,NULL,NULL,Kevin Castro,NULL,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 14-1690568490.png,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 14-1690568490.png,NULL,NULL,Warming Up With RH Triads,Boogie Pattern,7th Chords & Inversions,Quarter Note Rhythm,Major Blues Scale Riff,Wrap-Up,25,47,78,208,366,610,660,859952277,NULL
398580,day-15-creating-blues-magic,Day 15 — Creating Blues Magic,pianote,challenge-part,5,150,published,2023-12-28 08:01:00,150,398563,17,jn4Yc,NULL,NULL,Kevin Castro,NULL,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 15-1690568506.png,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 15-1690568506.png,NULL,NULL,Warming Up With 7th Chords,Blues Riff,Adding In Rhythm,Making Your Own Riff,Boogie Pattern,Wrap-Up,25,103,148,366,523,610,662,859952429,NULL
398581,day-16-the-art-of-call-and-response,Day 16 — The Art Of Call And Response,pianote,challenge-part,5,150,published,2023-12-28 08:01:00,150,398563,18,9n4Yc,NULL,NULL,Kevin Castro,NULL,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 16-1690568547.png,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 16-1690568547.png,NULL,NULL,Warming Up With 7th Chords,Adding Rhythm,Broken 7th Chords,Call & Response,Combining Riffs,Wrap-Up,25,52,100,153,440,610,688,864916883,NULL
398582,day-17-fills-of-the-blues-masters,Day 17 — Fills Of The Blues Masters,pianote,challenge-part,5,150,published,2023-12-28 08:01:00,150,398563,19,Kn4Yc,NULL,NULL,Kevin Castro,NULL,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 17-1690568564.png,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 17-1690568564.png,NULL,NULL,Warming Up With 7th Chords,Boogie Pattern,Reviewing Riffs,Triplet Riff,Trill,Wrap-Up,25,102,178,318,464,611,665,864917267,NULL
398583,day-18-developing-your-riffs-fills,Day 18 — Developing Your Riffs & Fills,pianote,challenge-part,5,150,published,2023-12-28 08:01:00,150,398563,20,xn4Yc,NULL,NULL,Kevin Castro,NULL,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 18-1690568580.png,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 18-1690568580.png,NULL,NULL,Warming Up With Rhythm,Broken 7th Chords,Improvise With Chord Notes,Improvise With Minor Blues Scale,Riff With A Slide,Wrap-Up,25,78,130,207,338,610,704,864917717,NULL
398584,day-19-the-art-of-blues-riffs,Day 19 — The Art Of Blues Riffs,pianote,challenge-part,5,150,published,2023-12-28 08:01:00,150,398563,21,-n4Yc,NULL,NULL,Kevin Castro,NULL,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 19-1690568594.png,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 19-1690568594.png,NULL,NULL,Warming Up With Boogie Pattern,Quarter Note Rhythm,Minor Blues Scale & Rhythm,Improvising With Riffs,Riff Solo,Wrap-Up,25,78,100,235,467,611,667,864917984,NULL
398585,day-20-from-riff-to-solo,Day 20 — From Riff To Solo,pianote,challenge-part,5,150,published,2023-12-28 08:01:00,150,398563,22,RvyYc,NULL,NULL,Kevin Castro,NULL,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 20-1690568610.png,https://d1923uyy6spedc.cloudfront.net/30dbp-Day 20-1690568610.png,NULL,NULL,Establishing a Melody,Solo & Riffs,Trill,Boogie Pattern/Solo,Solo,Wrap-Up,25,129,180,209,390,620,721,864927011,NULL
398588,course-kick-off,Course Kick-Off,drumeo,challenge-part,5,150,published,2023-12-28 08:01:00,150,398587,1,NULL,NULL,NULL,Zack Grooves,NULL,https://d1923uyy6spedc.cloudfront.net/30-Day-Chops-KickOff-1683583259.jpg,https://d1923uyy6spedc.cloudfront.net/30-Day-Chops-KickOff-1683583259.jpg,NULL,NULL,Intro,Welcome,Course Overview,Wrap-up & Performance,NULL,NULL,0,15,29,72,NULL,NULL,84,887718426,NULL
