Name,Section/Column,Due Date,Tags,Copyright,XP,Instructor,Status - Workouts,Style,Topic Filter,Difficulty,Asset Folder,Video ID - Workouts,Duration,SSID - Workouts,Chapter 1,Chapter 2,Chapter 3,Chapter 4,Chapter 5,Chapter 6,Thumbnail URL,Video Host,Thumbnail Name
A Minor Chord Foundations,Launch Workouts (January 1st),,,No,200,Ayla Tesler-Mabe,Ready,Folk,Acoustic,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,878079092,325,cNBwc,Easy Chord:13,Quarter Notes:123,Full Chord:177,Quarter Notes:287,Outro:314,,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/A-Minor-Chord-Foundations.jpg,Vimeo,a-minor-chord-foundations.jpg
C Major Chord Foundations,Launch Workouts (January 1st),,,No,200,Ayla Tesler-Mabe,Ready,Folk,Acoustic,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,878123603,340,fNBwc,Easy Chord:24,Quarter Notes:134,Full Chord:189,Quarter Notes:298,Outro:326,,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/C-Major-Chord-Foundations.jpg,Vimeo,c-major-chord-foundations.jpg
D Major Chord Foundations,Launch Workouts (January 1st),,,No,200,Ayla Tesler-Mabe,Ready,Folk,Acoustic,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,878075503,344,fyBwc,Easy Chord:30,Quarter Notes:140,Full Chord:195,Quarter Notes:305,Outro:332,,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/D-Major-Chord-Foundations.jpg,Vimeo,d-major-chord-foundations.jpg
D Minor Chord Foundations,Launch Workouts (January 1st),,,No,200,Ayla Tesler-Mabe,Ready,Folk,Acoustic,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,878079522,344,ZyBwc,Easy Chord:32,Quarter Notes:142,Full Chord:197,Quarter Notes:307,Outro:334,,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/D-Minor-Chord-Foundations.jpg,Vimeo,d-minor-chord-foundations.jpg
E Major Chord Foundations,Launch Workouts (January 1st),,,No,200,Ayla Tesler-Mabe,Ready,Folk,Acoustic,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,888908655,327,tyBwc,Easy Chord:18,Quarter Notes:128,Full Chord:183,Quarter Notes:292,Outro:320,,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/E-Major-Chord-Foundations.jpg,Vimeo,e-major-chord-foundations.jpg
E Minor Chord Foundations,Launch Workouts (January 1st),,,No,200,Ayla Tesler-Mabe,Ready,Folk,Acoustic,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,889428792,344,ryBwc,Easy Chord: 31,Quarter Notes:140,Full Chord:195,Quarter Notes:305,Outro:333,,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/E-Minor-Chord-Foundations.jpg,Vimeo,e-minor-chord-foundations.jpg
3 Finger G Chord Foundations,Launch Workouts (January 1st),,,No,200,Ayla Tesler-Mabe,Ready,Folk,Acoustic,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,889662532,349,QzBwc,Easy Chord:32,Quarter Notes:142,Full Chord:197,Quarter Notes:306,Outro:334,,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/3-Finger-G-Chord-Foundations.jpg,Vimeo,3-finger-g-chord-foundations.jpg
4 Finger G Chord Foundations,Launch Workouts (January 1st),,,No,200,Ayla Tesler-Mabe,Ready,Folk,Acoustic,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,888908481,343,GzBwc,Exercise #1:27,Exercise #2:137,Exercise #3:201,Exercise #4:260,Exercise #5:301,Outro:329,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/4-Finger-G-Chord-Foundations.jpg,Vimeo,4-finger-g-chord-foundations.jpg
4/4 Strumming Fundamentals,Launch Workouts (January 1st),,,No,200,Alex Flock,Ready,Folk,Acoustic,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,887316248,648,cKswc,Exercise #1:28,Exercise #2:233,Exercise #3:335,Exercise #4:437,Exercise #5:540,Wrap Up:629,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/4-4-Strumming-fundamentals.jpg,Vimeo,44-strumming-fundamentals.jpg
5-Minute Pinky Strength,Launch Workouts (January 1st),,,No,200,Kent Shores,Ready,Rock,Electric,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU,888908954,363,44zwc,Exercise #1:37,Exercise #2:85,Exercise #3:133,Exercise #4:181,Exercise #5:229,Wrap Up:337,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/5-Minute-Pinky-Strength.jpg,Vimeo,5minute-pinky-strength.jpg
