title,brand,type,difficulty,xp,registration_url,topic,style,instructor,description,permissions,status,published_on,enrollment_start_date,enrollment_end_date,original_thumbnail_url,thumbnail_url,logo_image_url,header_image_url,parent,video,soundslice_slug,Chapter 1,Chapter 2,Chapter 3,Chapter 4,Chapter 5,Chapter 6,Video Host
Day 3,drumeo,challenge-part,2,100,,,,Domino Santantonio,,"1,78,91,92",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/GhostNotes-Co-3-1695834056.jpg,https://d1923uyy6spedc.cloudfront.net/GhostNotes-Co-3-1695834056.jpg,,,10-Day Ghost Notes,869378824,swYYc,Hi-Hat Rock Groove:2020,Add One Ghost Note:90,Add Two Ghost Notes:160,Hi-Hat To Ride Ghost-Note Grooves:300,Floor Tom Ghost-Note Groove:509,Wrap-Up:579,Vimeo
Day 4,drumeo,challenge-part,2,100,,,,Domino Santantonio,,"1,78,91,92",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/GhostNotes-Co-4-1695836520.jpg,https://d1923uyy6spedc.cloudfront.net/GhostNotes-Co-4-1695836520.jpg,,,10-Day Ghost Notes,869378873,1wYYc,Hi-Hat Rock Groove:27,Add One Ghost Note:113,Add Two Ghost Notes:198,Hi-Hat To Ride Ghost-Note Grooves:369,Floor Tom Ghost-Note Groove:539,Wrap-Up:625,Vimeo
Day 5,drumeo,challenge-part,2,100,,,,Domino Santantonio,,"1,78,91,92",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/GhostNotes-Co-5-1695837323.jpg,https://d1923uyy6spedc.cloudfront.net/GhostNotes-Co-5-1695837323.jpg,,,10-Day Ghost Notes,869378955,dwYYc,Hi-Hat Rock Groove:37,Add One Ghost Note:122,Add Two Ghost Notes:208,Hi-Hat To Ride Ghost-Note Grooves:378,Floor Tom Ghost-Note Groove:549,Wrap-Up:635,Vimeo
Day 6,drumeo,challenge-part,2,100,,,,Domino Santantonio,,"1,78,91,92",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/GhostNotes-Co-6-1695838019.jpg,https://d1923uyy6spedc.cloudfront.net/GhostNotes-Co-6-1695838019.jpg,,,10-Day Ghost Notes,869379001,7wYYc,Hi-Hat Rock Groove:16,Add One Ghost Note:86,Add Two Ghost Notes:155,Hi-Hat To Ride Ghost-Note Grooves:295,Floor Tom Ghost-Note Groove:504,Wrap-Up:575,Vimeo
Day 7,drumeo,challenge-part,2,100,,,,Domino Santantonio,,"1,78,91,92",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/GhostNotes-Co-7-1695898216.jpg,https://d1923uyy6spedc.cloudfront.net/GhostNotes-Co-7-1695898216.jpg,,,10-Day Ghost Notes,869379042,WwYYc,Floor Tom Rock Groove:24,Add One Ghost Note:109,Add Two Ghost Notes:195,Floor Tom Rock Groove:365,Floor Tom Ghost-Note Grooves:451,Wrap-Up:622,Vimeo
Day 8,drumeo,challenge-part,2,100,,,,Domino Santantonio,,"1,78,91,92",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/GhostNotes-Co-8-1695900539.jpg,https://d1923uyy6spedc.cloudfront.net/GhostNotes-Co-8-1695900539.jpg,,,10-Day Ghost Notes,869379139,BwYYc,Floor Tom Rock Groove:13,Add One Ghost Note:83,Add Two Ghost Notes:153,Floor Tom Rock Groove:292,Floor Tom Ghost-Note Grooves:362,Wrap-Up:572,Vimeo
Day 9,drumeo,challenge-part,2,100,,,,Domino Santantonio,,"1,78,91,92",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/GhostNotes-Co-9-1695900996.jpg,https://d1923uyy6spedc.cloudfront.net/GhostNotes-Co-9-1695900996.jpg,,,10-Day Ghost Notes,869379191,ZwYYc,Verse 1 To Chorus 1:26,Verse 2 To Chorus 2:111,Bridge 1 To Chorus 3:196,Verse 4 To Chorus 5:378,Bridge 2 To Final Chorus:763,Wrap-Up:549,Vimeo
Day 10,drumeo,challenge-part,2,100,,,,Domino Santantonio,,"1,78,91,92",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/GhostNotes-Co-10-1695901358.jpg,https://d1923uyy6spedc.cloudfront.net/GhostNotes-Co-10-1695901358.jpg,,,10-Day Ghost Notes,869379247,LwYYc,Verse 1 To Chorus 1:24,Verse 2 To Bridge 1:128,Chorus 3 To Rest 1:198,Chorus 5 To Bridge 2:347,Bridge 2 To Final Chorus:600,Wrap-Up:671,Vimeo
Course Kick-Off,drumeo,challenge-part,1,100,,,,Domino Santantonio,,"1,78,91,92 ,101",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/KickOff-1702425169.jpg,https://d1923uyy6spedc.cloudfront.net/KickOff-1702425169.jpg,,,30-Day Drummer,887785770,,,,,,,,Vimeo
Acoustic Kit Setup,drumeo,challenge-part,1,100,,,,Kyle Radomsky,,"1,78,91,92 ,101",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/KitSetupThumbs-04-1702425200.jpg,https://d1923uyy6spedc.cloudfront.net/KitSetupThumbs-04-1702425200.jpg,,,30-Day Drummer,887785814,,,,,,,,Vimeo
Electronic Kit Setup,drumeo,challenge-part,1,100,,,,Kyle Radomsky,,"1,78,91,92 ,101",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/KitSetupThumbs-02-1702425215.jpg,https://d1923uyy6spedc.cloudfront.net/KitSetupThumbs-02-1702425215.jpg,,,30-Day Drummer,887785930,,,,,,,,Vimeo
Practice Pad Setup,drumeo,challenge-part,1,100,,,,Kyle Radomsky,,"1,78,91,92 ,101",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/KitSetupThumbs-03-1702425232.jpg,https://d1923uyy6spedc.cloudfront.net/KitSetupThumbs-03-1702425232.jpg,,,30-Day Drummer,887785994,,,,,,,,Vimeo
Day 1 (Your First Drum Beat - Lesson & Workout 1),drumeo,challenge-part,1,100,,,,Domino Santantonio,,"1,78,91,92 ,101",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/Day1-1702416920.jpg,https://d1923uyy6spedc.cloudfront.net/Day1-1702416920.jpg,,,30-Day Drummer,887787268,9K4Yc,Play Hi-Hat & Snare Drum:170,Play Hi-Hat & Bass Drum:341,Play The Snare & The Bass Drum:511,Hi-Hat Groove:597,Ride Groove:682,Wrap-Up:767,Vimeo
Your First Drum Beat - Workout 2,drumeo,challenge-part,1,100,,,,Domino Santantonio,,"1,78,91,92 ,101",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/Day2-1702418589.jpg,https://d1923uyy6spedc.cloudfront.net/Day2-1702418589.jpg,,,30-Day Drummer,887787391,KK4Yc,Play Hi-Hat & Snare Drum:37,Play Hi-Hat & Bass Drum:208,Hi-Hat Groove:293,Ride Groove:464,Floor Tom Groove:549,Wrap-Up:634,Vimeo
Your First Drum Beat - Workout 3,drumeo,challenge-part,1,100,,,,Domino Santantonio,,"1,78,91,92 ,101",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/Day3-1702418674.jpg,https://d1923uyy6spedc.cloudfront.net/Day3-1702418674.jpg,,,30-Day Drummer,887787490,xK4Yc,Play Hi-Hat & Snare Drum:27,Play Hi-Hat & Bass Drum:198,Hi-Hat Groove:283,Floor Tom Groove:369,Hi-Tom & Floor Tom Groove:454,Wrap-Up:625,Vimeo
Your First Drum Beat - Workout 4,drumeo,challenge-part,1,100,,,,Domino Santantonio,,"1,78,91,92 ,101",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/Day4-1702418944.jpg,https://d1923uyy6spedc.cloudfront.net/Day4-1702418944.jpg,,,30-Day Drummer,887787563,nK4Yc,Play Hi-Hat & Snare Drum:36,Hi-Hat & Bass Into Hi-Hat Groove:206,Ride Groove:377,Hi-Tom & Floor Tom Groove:462,Hi-Tom & Ride Groove:548,Wrap-Up:633,Vimeo
Your First Drum Beat - Workout 5,drumeo,challenge-part,1,100,,,,Domino Santantonio,,"1,78,91,92 ,101",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/Day5-1702419812.jpg,https://d1923uyy6spedc.cloudfront.net/Day5-1702419812.jpg,,,30-Day Drummer,887787661,FK4Yc,,,,,,,Vimeo
Doubling It Up - Lesson & Workout 1,drumeo,challenge-part,1,100,,,,Domino Santantonio,,"1,78,91,92 ,101",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/Day6-1702419895.jpg,https://d1923uyy6spedc.cloudfront.net/Day6-1702419895.jpg,,,30-Day Drummer,887787800,tK4Yc,,,,,,,Vimeo
Doubling It Up - Workout 2,drumeo,challenge-part,1,100,,,,Domino Santantonio,,"1,78,91,92 ,101",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/Day7-1702420285.jpg,https://d1923uyy6spedc.cloudfront.net/Day7-1702420285.jpg,,,30-Day Drummer,887787896,5K4Yc,,,,,,,Vimeo
Doubling It Up - Workout 3,drumeo,challenge-part,1,100,,,,Domino Santantonio,,"1,78,91,92 ,101",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/Day8-1702420353.jpg,https://d1923uyy6spedc.cloudfront.net/Day8-1702420353.jpg,,,30-Day Drummer,887787992,gK4Yc,,,,,,,Vimeo
Doubling It Up - Workout 4,drumeo,challenge-part,1,100,,,,Domino Santantonio,,"1,78,91,92 ,101",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/Day9-1702420456.jpg,https://d1923uyy6spedc.cloudfront.net/Day9-1702420456.jpg,,,30-Day Drummer,887788071,6K4Yc,,,,,,,Vimeo
Doubling It Up - Workout 5,drumeo,challenge-part,1,100,,,,Domino Santantonio,,"1,78,91,92 ,101",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/Day10-1702420947.jpg,https://d1923uyy6spedc.cloudfront.net/Day10-1702420947.jpg,,,30-Day Drummer,887788188,GK4Yc,,,,,,,Vimeo
Adding Fills & Crashes - Lesson & Workout 1,drumeo,challenge-part,1,100,,,,Domino Santantonio,,"1,78,91,92 ,101",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/Day11-1702421163.jpg,https://d1923uyy6spedc.cloudfront.net/Day11-1702421163.jpg,,,30-Day Drummer,887788445,rK4Yc,,,,,,,Vimeo
Adding Fills & Crashes - Workout 2,drumeo,challenge-part,1,100,,,,Domino Santantonio,,"1,78,91,92 ,101",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/Day12-1702421182.jpg,https://d1923uyy6spedc.cloudfront.net/Day12-1702421182.jpg,,,30-Day Drummer,887788531,hK4Yc,,,,,,,Vimeo
Adding Fills & Crashes - Workout 3,drumeo,challenge-part,1,100,,,,Domino Santantonio,,"1,78,91,92 ,101",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/Day12-1702421239.jpg,https://d1923uyy6spedc.cloudfront.net/Day12-1702421239.jpg,,,30-Day Drummer,887788626,mK4Yc,,,,,,,Vimeo
